stationName,stationReference,stationURL
Bangor,E73839,http://environment.data.gov.uk/flood-monitoring/id/stations/E73839
Dover,E71639,http://environment.data.gov.uk/flood-monitoring/id/stations/E71639
St+Marys,E72339,http://environment.data.gov.uk/flood-monitoring/id/stations/E72339
Lowestoft,E70039,http://environment.data.gov.uk/flood-monitoring/id/stations/E70039
Lerwick,E74439,http://environment.data.gov.uk/flood-monitoring/id/stations/E74439
Newlyn,E72239,http://environment.data.gov.uk/flood-monitoring/id/stations/E72239
Milford+Haven,E73039,http://environment.data.gov.uk/flood-monitoring/id/stations/E73039
Weymouth,E72039,http://environment.data.gov.uk/flood-monitoring/id/stations/E72039
Ilfracombe,E72439,http://environment.data.gov.uk/flood-monitoring/id/stations/E72439
Kinlochbervie,E70339,http://environment.data.gov.uk/flood-monitoring/id/stations/E70339
Stornoway,E74339,http://environment.data.gov.uk/flood-monitoring/id/stations/E74339
Plymouth,E72139,http://environment.data.gov.uk/flood-monitoring/id/stations/E72139
Jersey,E70239,http://environment.data.gov.uk/flood-monitoring/id/stations/E70239
Ullapool,E70439,http://environment.data.gov.uk/flood-monitoring/id/stations/E70439
Newport,E72839,http://environment.data.gov.uk/flood-monitoring/id/stations/E72839
Heysham,E73439,http://environment.data.gov.uk/flood-monitoring/id/stations/E73439-anglian
Wick,E70639,http://environment.data.gov.uk/flood-monitoring/id/stations/E70639
Avonmouth+Portbury,E72639,http://environment.data.gov.uk/flood-monitoring/id/stations/E72639
Mumbles,E72939,http://environment.data.gov.uk/flood-monitoring/id/stations/E72939
Leith,E70839,http://environment.data.gov.uk/flood-monitoring/id/stations/E70839
North+Shields,E70939,http://environment.data.gov.uk/flood-monitoring/id/stations/E70939
Liverpool,E70139,http://environment.data.gov.uk/flood-monitoring/id/stations/E70139-anglian
Holyhead,E70539,http://environment.data.gov.uk/flood-monitoring/id/stations/E70539
Millport,E74039,http://environment.data.gov.uk/flood-monitoring/id/stations/E74039
Immingham,E71139,http://environment.data.gov.uk/flood-monitoring/id/stations/E71139
Cromer,E71239,http://environment.data.gov.uk/flood-monitoring/id/stations/E71239
Whitby,E71039,http://environment.data.gov.uk/flood-monitoring/id/stations/E71039
Fishguard,E73139,http://environment.data.gov.uk/flood-monitoring/id/stations/E73139
Workington,E73639,http://environment.data.gov.uk/flood-monitoring/id/stations/E73639-anglian
Port+Erin,E73539,http://environment.data.gov.uk/flood-monitoring/id/stations/E73539
Harwich,E71439,http://environment.data.gov.uk/flood-monitoring/id/stations/E71439
Barmouth,E73239,http://environment.data.gov.uk/flood-monitoring/id/stations/E73239
Newhaven,E71739,http://environment.data.gov.uk/flood-monitoring/id/stations/E71739
Portrush,E73939,http://environment.data.gov.uk/flood-monitoring/id/stations/E73939
Sheerness,E71539,http://environment.data.gov.uk/flood-monitoring/id/stations/E71539
Portpatrick,E73739,http://environment.data.gov.uk/flood-monitoring/id/stations/E73739
Portsmouth,E71839,http://environment.data.gov.uk/flood-monitoring/id/stations/E71839
Bournemouth,E71939,http://environment.data.gov.uk/flood-monitoring/id/stations/E71939
Aberdeen,E70739,http://environment.data.gov.uk/flood-monitoring/id/stations/E70739
Tobermory,E74239,http://environment.data.gov.uk/flood-monitoring/id/stations/E74239
Llandudno,E73339,http://environment.data.gov.uk/flood-monitoring/id/stations/E73339
